Channel Name,Channel Slug,Channel Description,Channel Category,Section Name,Section Slug,Section Order,Episode Number,Episode Title,Episode Slug,Episode Description,Episode Level,Difficulty Level,File Name,Upload Status,Video URL,Thumbnail URL,Required Tier Level,Is First Episode,Status,Season Number,Tags,Notes
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,6,Combo Cut,combo-cut,"Execute single through the legs with two basketballs, maintaining focus and control. Keep your eyes up and complete 10 reps per leg. Step forward when dribbling through the legs to create dynamic movement.",Advanced,intermediate,58 indi app 4.mp4,No,,,2,false,published,1,"two-ball,between-legs,on-move",Single through legs with forward step
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,7,Double Through Legs,double-through-legs,"Master continuous through the legs with both legs using two basketballs. Tap the front ball with the opposite hand as demonstrated in the video. Complete 20 reps total to build advanced coordination and control.",Pro,advanced,59 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,between-legs,continuous",Continuous betweens with both legs
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,8,Low High Dribble,low-high-dribble,"Contrast low and high dribbles with two basketballs, developing dynamic control and hand strength. Use a 10-second count where each double pound equals one second, repeating twice. Keep your eyes up throughout the movement.",Advanced,intermediate,60 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,contrast,low-high",Low to high dribble contrast
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,9,Same Time Dribbling,same-time-dribbling,"Develop elite coordination by dribbling both balls simultaneously with double pounds. Complete 10 reps total, focusing on rhythm and control. This fundamental drill builds the foundation for more advanced two-ball combinations.",Easy,beginner,61 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,simultaneous,double-pound",Simultaneous double pounds
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,10,In And Outs,in-and-outs,"Master two-ball in and outs to build hand independence and control. Keep your eyes up and complete 10 in and outs on each side. This drill develops the coordination needed for advanced ball handling moves.",Easy,beginner,62 indi app 4.mp4,No,,,2,false,published,1,"two-ball,in-out,hand-independence",In and out pattern both sides
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,11,Eggbeater,eggbeater,"Execute the eggbeater drill with two basketballs, demonstrating elite ball handling skills that separate advanced players. Keep your eyes up and complete 10-20 reps to build serious coordination and control.",Pro,advanced,63 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,eggbeater,elite",Eggbeater pattern drill
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,12,Single Behind,single-behind,"Combine front cross and behind cross with two basketballs, focusing on quickness and hand speed. Keep your eyes up throughout and complete 10 reps on each side. This drill develops the speed needed for game situations.",Advanced,intermediate,64 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,front-behind,quickness",Front cross to behind cross
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,13,Single Front Cross,single-front-cross,"Master single front cross with two basketballs, developing fundamental two-ball control. Complete 10 reps on each side, keeping your eyes up throughout the movement. This drill builds the foundation for more advanced combinations.",Easy,beginner,65 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,single-cross,fundamentals",Single front cross pattern
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,14,Alternate Dribbles,alternate-dribbles,"Develop rhythm and control with low alternating two-ball dribbles. Use a 10-second dribble count where one dribble with each hand equals one second. This drill builds the timing and coordination needed for advanced moves.",Easy,beginner,66 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,alternating,rhythm",Low alternating dribbles
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,15,High Low Alternating,high-low-alternating,"Contrast high and low dribbles with two basketballs for dynamic control. Pair this video with the low high dribble episode to understand the full range of dribble heights and develop complete ball handling mastery.",Easy,beginner,67 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,contrast,high-low",High to low alternating contrast
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,16,Single Through Legs,single-through-legs,"Combine front cross and between the legs with two basketballs. Keep your eyes up and complete 10 reps on each side. This drill develops the coordination needed for advanced game moves.",Advanced,intermediate,68 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,front-between,coordination",Front cross to between legs
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,17,Front Behind Combo,front-behind-combo,"Execute front cross to behind cross combinations with two basketballs. Keep your eyes up and complete 10 reps on each side. This advanced drill develops the quickness and hand speed needed for elite ball handling.",Advanced,intermediate,70 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,front-behind,combinations",Front cross to behind cross combo
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,18,Double Front Cross Moving,double-front-cross-moving,"Master continuous front cross on the move with two basketballs. Complete to half court OR 10 total crosses on the move. This advanced drill develops game-like ball handling skills while maintaining control at speed.",Advanced,intermediate,71 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,front-cross,on-move",Continuous front cross moving
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,19,Through Front Cross,through-front-cross,"Combine between the legs and front cross with two basketballs. Keep your eyes up and complete 10 total combos (between and front cross equals one rep). This drill develops smooth transitions between moves.",Advanced,intermediate,72 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,between-front,combinations",Between legs to front cross combo
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,20,Front Behind Two Balls,front-behind-two-balls,"Execute front cross to behind cross pattern with two basketballs for elite coordination. Keep your eyes up and complete 10 total combos (front cross to behind equals one rep). This advanced drill develops the hand speed needed for game situations.",Advanced,intermediate,73 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,front-behind,pattern",Front cross to behind pattern
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,21,Double Behind Front Tap,double-behind-front-tap,"Master double behind the back (returning to the same side) with two basketballs. Keep your eyes up and complete 10 total double behind the backs, switching hands after each sequence. This advanced drill develops elite ball control.",Advanced,intermediate,74 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,double-behind,elite",Double behind same side
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,22,Double Front Cross Between,double-front-cross-between,"Execute double front cross with dribble in between pattern using two basketballs. Keep your eyes up and complete 10 total combos (front cross times two equals one rep). This drill develops advanced coordination and control.",Advanced,intermediate,75 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,double-cross,between",Double front cross with between pattern
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,23,Cradle Drill,cradle-drill,"Master double circus cradle with two basketballs, pairing this drill with episode 2 for complete understanding. Keep your eyes up and complete 10 total cradles. This variation builds serious ball control and coordination.",Advanced,intermediate,76 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,cradle,circus",Double circus cradle variation
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,24,Double Behind Stationary,double-behind-stationary,"Execute double behind the back stationary drill with two basketballs for fundamental mastery. Keep your eyes up and complete 10 total combo behind the backs. This drill builds the foundation for advanced moving combinations.",Pro,advanced,77 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,double-behind,stationary",Stationary double behind the back
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,25,Through Behind Moving,through-behind-moving,"Master through behind sequence while moving with two basketballs for game speed. Complete to half court OR 10-20 total crosses. This advanced drill develops the coordination needed for game-like situations.",Advanced,intermediate,78 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,through-behind,on-move",Through behind sequence moving
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,26,Behind Through Combo,behind-through-combo,"Execute behind then through the legs sequence with two basketballs for advanced moves. Keep your eyes up and complete 10 total combos. This drill develops the smooth transitions needed for elite ball handling.",Advanced,intermediate,79 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,behind-through,combinations",Behind to through legs combo
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,27,Double Through Legs Advanced,double-through-legs-advanced,"Master advanced double through the legs pattern with two basketballs for elite players. Complete to half court OR 10 total combos. Keep your eyes up throughout this challenging drill that develops serious ball control.",Advanced,intermediate,80 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,double-between,advanced",Front to between on the move
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,28,Alternating High,alternating-high,"Build serious endurance with high alternating two-ball dribbles. Complete 10 reps where two dribbles equal one rep. This drill develops the stamina and control needed for extended game situations.",Advanced,intermediate,81 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,alternating,high",High alternating dribbles
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,29,Front Through Legs,front-through-legs,"Combine front cross and through the legs with two basketballs for smooth combos. Keep your eyes up and complete 10 total combos. This drill develops the coordination needed for advanced game moves.",Advanced,intermediate,82 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,front-between,combinations",Front to between legs pattern
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,30,Behind Through Advanced,behind-through-advanced,"Execute behind into through the legs advanced combo move with two basketballs. Keep your eyes up and complete 10 total combos. This elite drill develops the hand speed and coordination needed for game situations.",Advanced,intermediate,83 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,behind-between,advanced",Behind to between advanced combo
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,31,Front Through Variation,front-through-variation,"Master front through the legs variation with two basketballs for different looks. Complete 10 total combos. This drill develops the versatility needed to keep defenders guessing in game situations.",Advanced,intermediate,84 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,front-between,variation",Continuous front to between
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,32,Single Front Cross,single-front-cross-advanced,"Focus on single front cross emphasis with two basketballs for advanced control. Keep your eyes up and complete 10 total crosses with each arm. This drill develops the precision needed for game situations.",Advanced,intermediate,85 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,single-cross,precision",Single front cross emphasis
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,33,Through Behind Moving,through-behind-moving-continuous,"Master continuous between and behind sequence while moving with two basketballs for game speed. Complete to half court OR 10 total reps. This drill develops the endurance needed for extended play.",Easy,beginner,86 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,continuous,on-move",Continuous between to behind
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,34,Double Behind Moving,double-behind-moving,"Execute continuous behind the back on the move with two basketballs for advanced play. Complete to half court OR 10 total reps. This elite drill develops the control needed for game situations at speed.",Pro+,expert,87 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,double-behind,on-move",Continuous behind the back moving
Two Ball Dribbling Mastery,two-ball-dribbling-mastery,"Take your ball handling to elite levels with advanced two-ball dribbling drills. Develop hand independence, coordination, and control that separates you from the competition.",basketball,Two Ball,two-ball,1,35,Through Front Cross Combo,through-front-cross-combo,"Master through the legs into front cross combo with two basketballs. Keep your eyes up and complete 10 total combos. This drill develops the smooth transitions needed for elite ball handling.",Easy,beginner,88 indi app 4.mp4,Yes,,,2,false,published,1,"two-ball,between-front,combo",Between to front cross combo
Advanced Shooting with Rebounder,advanced-shooting-rebounder,"Take your shooting to the next level with partner drills and rebounder assistance. Master game-like situations, conditioning, and mental toughness through advanced shooting drills.",basketball,On Court + Rebounder,on-court-rebounder,1,1,M Drill,m-drill,"Master the M drill with a rebounder, combining conditioning with shot making. Complete the drill in 2 minutes OR limit yourself to 2 misses only. This advanced drill develops game-like shooting under pressure and fatigue.",Pro+,expert,89 indi apps.mov,Maybe,,,2,true,published,1,"shooting,m-drill,conditioning",M drill with time or miss limit
Advanced Shooting with Rebounder,advanced-shooting-rebounder,"Take your shooting to the next level with partner drills and rebounder assistance. Master game-like situations, conditioning, and mental toughness through advanced shooting drills.",basketball,On Court + Rebounder,on-court-rebounder,1,2,Corner 10 In A Row,corner-10-in-a-row,"Build mental toughness with corner shooting challenges. Start with 2 in a row (Starter level), progress to 3 in a row (Advanced), and aim for 5+ in a row (Pro level). Focus on maintaining concentration and consistency under pressure.",Pro,advanced,90 indi apps.mov,Yes,,,2,false,published,1,"shooting,corner,consistency",5 in a row corner challenge
Advanced Shooting with Rebounder,advanced-shooting-rebounder,"Take your shooting to the next level with partner drills and rebounder assistance. Master game-like situations, conditioning, and mental toughness through advanced shooting drills.",basketball,On Court + Rebounder,on-court-rebounder,1,3,Wing M Drill,wing-m-drill,"Master the W drill (Wing M drill) with continuous sprinting from halfcourt corner to the wing, then to the opposite halfcourt corner and back to the wing. Continue for 2 minutes or limit to 2 misses total. This drill combines conditioning with focus.",Pro,advanced,91 indi apps.mov,Yes,,,2,false,published,1,"shooting,wing-m-drill,conditioning",W drill with continuous sprinting
Advanced Shooting with Rebounder,advanced-shooting-rebounder,"Take your shooting to the next level with partner drills and rebounder assistance. Master game-like situations, conditioning, and mental toughness through advanced shooting drills.",basketball,On Court + Rebounder,on-court-rebounder,1,4,Middle Five In A Row,middle-five-in-a-row,"Develop consistency with middle jumpers in a row. Start with 2 in a row (Starter), progress to 3 in a row (Advanced), and aim for 5+ in a row (Pro). Focus on maintaining form and concentration throughout the challenge.",Pro,advanced,92 indi apps.mov,Yes,,,2,false,published,1,"shooting,middle,consistency",Middle 5 in a row challenge
Advanced Shooting with Rebounder,advanced-shooting-rebounder,"Take your shooting to the next level with partner drills and rebounder assistance. Master game-like situations, conditioning, and mental toughness through advanced shooting drills.",basketball,On Court + Rebounder,on-court-rebounder,1,5,M Drill Explanation,m-drill-explanation,"Detailed explanation of the M drill technique and strategy. Understand the purpose, execution, and how to maximize effectiveness. Pair this explanation with the M drill demonstration for complete understanding.",Pro,advanced,93 indi apps.mov,Yes,,,2,false,published,1,"shooting,m-drill,explanation",M drill technique breakdown
Advanced Shooting with Rebounder,advanced-shooting-rebounder,"Take your shooting to the next level with partner drills and rebounder assistance. Master game-like situations, conditioning, and mental toughness through advanced shooting drills.",basketball,On Court + Rebounder,on-court-rebounder,1,6,Elbow To Elbow,elbow-to-elbow,"Master elbow to elbow shooting with constant movement. Every make is +1 and every miss is -2. Your goal is to reach +10, but if you get to -5, the drill is over. This advanced drill develops mental toughness and consistency under pressure.",Pro+,expert,94 indi apps.mov,Yes,,,2,false,published,1,"shooting,elbow-to-elbow,mental-toughness",Plus-minus scoring system
Advanced Shooting with Rebounder,advanced-shooting-rebounder,"Take your shooting to the next level with partner drills and rebounder assistance. Master game-like situations, conditioning, and mental toughness through advanced shooting drills.",basketball,On Court + Rebounder,on-court-rebounder,1,7,Wing Five In A Row,wing-five-in-a-row,"Build consistency with wing jumpers in a row. Start with 2 in a row (Starter), progress to 3 in a row (Advanced), and aim for 5+ in a row (Pro). Focus on maintaining form and concentration throughout the challenge.",Pro,advanced,95 indi apps.mov,Yes,,,2,false,published,1,"shooting,wing,consistency",Wing 5 in a row challenge
Advanced Shooting with Rebounder,advanced-shooting-rebounder,"Take your shooting to the next level with partner drills and rebounder assistance. Master game-like situations, conditioning, and mental toughness through advanced shooting drills.",basketball,On Court + Rebounder,on-court-rebounder,1,8,Corner Five In A Row,corner-five-in-a-row,"Develop consistency with corner jumpers in a row. Start with 2 in a row (Starter), progress to 3 in a row (Advanced), and aim for 5+ in a row (Pro). Focus on maintaining form and concentration throughout the challenge.",Pro,advanced,96 indi apps.mov,Yes,,,2,false,published,1,"shooting,corner,consistency",Corner 5 in a row challenge
Advanced Shooting with Rebounder,advanced-shooting-rebounder,"Take your shooting to the next level with partner drills and rebounder assistance. Master game-like situations, conditioning, and mental toughness through advanced shooting drills.",basketball,On Court + Rebounder,on-court-rebounder,1,9,Corner Jumpers Explained,corner-jumpers-explained,"Detailed explanation of corner jumpers and the 5 in a row challenge. Start with 2 in a row (Starter), progress to 3 in a row (Advanced), and aim for 5+ in a row (Pro). Understand the purpose and execution of this mental toughness drill.",Pro,advanced,99 indi apps.mov,Yes,,,2,false,published,1,"shooting,corner,explanation",Corner jumpers technique breakdown
Advanced Shooting with Rebounder,advanced-shooting-rebounder,"Take your shooting to the next level with partner drills and rebounder assistance. Master game-like situations, conditioning, and mental toughness through advanced shooting drills.",basketball,On Court + Rebounder,on-court-rebounder,1,10,Wing Five Reps,wing-five-reps,"Master wing threes with the 5 in a row challenge. Start with 2 in a row (Starter), progress to 3 in a row (Advanced), and aim for 5+ in a row (Pro). Focus on maintaining form and concentration throughout the challenge.",Pro,advanced,100 indi apps.mov,Yes,,,2,false,published,1,"shooting,wing-threes,consistency",Wing 3s 5 in a row challenge
Advanced Shooting with Rebounder,advanced-shooting-rebounder,"Take your shooting to the next level with partner drills and rebounder assistance. Master game-like situations, conditioning, and mental toughness through advanced shooting drills.",basketball,On Court + Rebounder,on-court-rebounder,1,11,Corner Five Reps,corner-five-reps,"Develop consistency with corner jumpers in the 5 in a row challenge. Start with 2 in a row (Starter), progress to 3 in a row (Advanced), and aim for 5+ in a row (Pro). Focus on maintaining form and concentration throughout.",Pro,advanced,101 indi apps.mov,Yes,,,2,false,published,1,"shooting,corner-jumpers,consistency",Corner jumpers 5 in a row
Advanced Shooting with Rebounder,advanced-shooting-rebounder,"Take your shooting to the next level with partner drills and rebounder assistance. Master game-like situations, conditioning, and mental toughness through advanced shooting drills.",basketball,On Court + Rebounder,on-court-rebounder,1,12,Middle Five Reps,middle-five-reps,"Master middle jumpers with the 5 in a row challenge. Start with 2 in a row (Starter), progress to 3 in a row (Advanced), and aim for 5+ in a row (Pro). Focus on maintaining form and concentration throughout the challenge.",Pro,advanced,102 indi apps.mov,Yes,,,2,false,published,1,"shooting,middle-jumpers,consistency",Middle jumpers 5 in a row
Advanced Shooting with Rebounder,advanced-shooting-rebounder,"Take your shooting to the next level with partner drills and rebounder assistance. Master game-like situations, conditioning, and mental toughness through advanced shooting drills.",basketball,On Court + Rebounder,on-court-rebounder,1,13,Wing M Drill Demo,wing-m-drill-demo,"Demonstrate the W drill (M wing version) with conditioning and focus. Use positive visualization throughout the drill. Complete 2 minutes for 10 makes OR limit to 2 misses only for 10 makes. Pair this with video 3 for complete understanding.",Pro,advanced,103 indi apps.mov,Yes,,,2,false,published,1,"shooting,wing-m-drill,demo",W drill demonstration with visualization
Advanced Shooting with Rebounder,advanced-shooting-rebounder,"Take your shooting to the next level with partner drills and rebounder assistance. Master game-like situations, conditioning, and mental toughness through advanced shooting drills.",basketball,On Court + Rebounder,on-court-rebounder,1,14,Wing Jumpers,wing-jumpers,"Master wing jumpers with the 5 in a row challenge. Start with 2 in a row (Starter), progress to 3 in a row (Advanced), and aim for 5+ in a row (Pro). Focus on maintaining form and concentration throughout the challenge.",Pro,advanced,104 indi apps.mov,Yes,,,2,false,published,1,"shooting,wing-jumpers,consistency",Wing jumpers 5 in a row
Advanced Shooting with Rebounder,advanced-shooting-rebounder,"Take your shooting to the next level with partner drills and rebounder assistance. Master game-like situations, conditioning, and mental toughness through advanced shooting drills.",basketball,On Court + Rebounder,on-court-rebounder,1,15,Five In A Row Explained,five-in-a-row-explained,"Understand the purpose and importance of shooting in a row or succession. Learn how this mental toughness drill prepares you for game situations where consecutive makes are crucial. Develop the focus needed to execute under pressure.",Pro,advanced,105 indi apps.mov,Yes,,,2,false,published,1,"shooting,explanation,mental-toughness",In a row shooting purpose
Advanced Shooting with Rebounder,advanced-shooting-rebounder,"Take your shooting to the next level with partner drills and rebounder assistance. Master game-like situations, conditioning, and mental toughness through advanced shooting drills.",basketball,On Court + Rebounder,on-court-rebounder,1,16,Wing Five Drill,wing-five-drill,"Master wing jumpers with the 5 in a row challenge. Start with 2 in a row (Starter), progress to 3 in a row (Advanced), and aim for 5+ in a row (Pro). Focus on maintaining form and concentration throughout the challenge.",Pro,advanced,106 indi apps.mov,Yes,,,2,false,published,1,"shooting,wing-jumpers,consistency",Wing jumpers 5 in a row drill
Advanced Shooting with Rebounder,advanced-shooting-rebounder,"Take your shooting to the next level with partner drills and rebounder assistance. Master game-like situations, conditioning, and mental toughness through advanced shooting drills.",basketball,On Court + Rebounder,on-court-rebounder,1,17,Plus Minus Drill,plus-minus-drill,"Master the plus-minus drill with a rebounder. Understand the scoring system and how it develops mental toughness and consistency. Pair this explanation with the plus-minus drill demonstration for complete understanding.",Pro,advanced,108 indi apps.mov,Yes,,,2,false,published,1,"shooting,plus-minus,explanation",Plus-minus drill explanation
Advanced Shooting with Rebounder,advanced-shooting-rebounder,"Take your shooting to the next level with partner drills and rebounder assistance. Master game-like situations, conditioning, and mental toughness through advanced shooting drills.",basketball,On Court + Rebounder,on-court-rebounder,1,18,Rebounder Passing Tips,rebounder-passing-tips,"Learn why rebounder seam passing matters for your game. Understand proper passing technique, timing, and how effective passing improves your shooting drills. This explanation helps maximize your rebounder practice sessions.",Pro,advanced,109 indi apps.mov,Yes,,,2,false,published,1,"shooting,rebounder,passing",Rebounder passing technique tips

